Country,2017,2016,2015,2014,2013,2012,2011
Solomon Islands,80,89,85,78,85,88,97
Somalia,47,47,47,47,47,47,49
South Africa,76,76,85,85,79,69,71
South Sudan,48,45,52,52,56,67,66
Spain,95,97,97,97,96,97,97
Sri Lanka,99,99,99,99,99,99,99
Sudan,95,93,93,94,93,92,93
Suriname,65,91,89,85,86,84,86
Sweden,97,98,98,97,98,98,98
Switzerland,96,96,96,96,96,96,96
Syrian Arab Republic,53,48,50,52,50,47,60
Tajikistan,97,97,96,94,97,96,97
Thailand,99,99,99,99,99,99,99
Republic of North Macedonia,91,95,92,96,98,97,97
Timor-Leste,83,79,75,76,82,83,66
Togo,84,89,88,85,84,84,85
Tonga,83,80,80,82,84,79,84
Trinidad and Tobago,94,84,88,94,94,91,91
Tunisia,98,98,98,98,98,97,98
Turkey,96,98,97,96,98,97,97
Turkmenistan,99,98,99,98,98,98,97
Tuvalu,96,94,96,89,90,97,96
Uganda,90,97,92,78,78,79,79
Ukraine,48,56,51,45,72,72,54
United Arab Emirates,96,99,99,99,98,96,95
United Kingdom of Great Britain and Northern Ireland,94,94,95,95,95,95,95
United Republic of Tanzania,96,93,96,97,91,90,88
USA,94,94,93,93,93,93,94
Uruguay,93,95,95,95,94,95,95
Uzbekistan,99,99,99,99,99,99,99
Vanuatu,83,81,80,80,78,77,75
Venezuela (Bolivarian Republic of),79,82,87,79,82,73,78
Viet Nam,94,95,97,96,93,97,96
Yemen,62,65,63,67,67,68,69
Zambia,92,87,90,78,74,70,83
Zimbabwe,89,90,88,92,95,95,93
